id;Наименование
SC.0;Внедрение и развитие технологии информационного моделирования
SC.1;Организация совместной работы
SC.2;Координация участников проекта
SC.3;Контроль качества
SC.4;Автоматизация рабочих процессов
SC.5;Разработка проектной модели
SC.6;Разработка строительной модели
SC.7;Разработка исполнительной модели
SC.8;Разработка эксплуатационной модели
SC.9;Разработка ведомости объёмов работ
SC.10;Календарное планирование 
SC.11;Операционное сопровождение строительства
SC.12;Контроль качества строительства
SC.13;Изыскания
SC.14;Презентации
